STATE,SAEMHI_MOE,SAEMHI_PT,SAEMHI_UB90,SAEPOV0_17_LB90,SAEPOV0_17_MOE,SAEPOV0_17_PT,SAEPOV0_17_UB90,SAEPOV0_4_LB90,SAEPOV0_4_MOE,SAEPOV0_4_PT,SAEPOV0_4_UB90,SAEPOV5_17R_LB90,SAEPOV5_17R_MOE,SAEPOV5_17R_PT,SAEPOV5_17R_UB90,SAEPOVALL_LB90,SAEPOVALL_MOE,SAEPOVALL_PT,SAEPOVALL_UB90,SAEPOVRT0_17_LB90,SAEPOVRT0_17_MOE,SAEPOVRT0_17_PT,SAEPOVRT0_17_UB90,SAEPOVRT0_4_LB90,SAEPOVRT0_4_MOE,SAEPOVRT0_4_PT,SAEPOVRT0_4_UB90,SAEPOVRT5_17R_LB90,SAEPOVRT5_17R_MOE,SAEPOVRT5_17R_PT,SAEPOVRT5_17R_UB90,SAEPOVRTALL_LB90,SAEPOVRTALL_MOE,SAEPOVRTALL_PT,SAEPOVRTALL_UB90,SAEPOVU_0_17,SAEPOVU_0_4,SAEPOVU_5_17R,SAEPOVU_ALL,YEAR
Maine,1701,35560,37261,34696,7054,41750,48803,9552,2844,12395,15239,20474,6459,26933,33392,116883,11799,128682,140481,11.8,2.40,14.2,16.6,13.8,4.10,17.9,22.0,9.3,2.95,12.3,15.2,9.4,0.95,10.3,11.3,294553,69175,219748,1245624,1998
Maryland,2155,47492,49646,129768,32637,162405,195042,22723,15606,38328,53934,86028,28726,114754,143480,403675,50385,454060,504445,10.0,2.55,12.6,15.1,6.7,4.55,11.2,15.8,9.1,3.05,12.2,15.2,7.9,0.95,8.8,9.8,1293467,340833,942892,5134465,1998
Massachusetts,1922,44934,46856,177970,32460,210430,242890,33734,14412,48146,62558,124083,28774,152857,181631,501063,50762,551825,602586,12.1,2.20,14.3,16.5,8.4,3.60,12.0,15.6,11.7,2.70,14.4,17.1,8.2,0.80,9.0,9.8,1476516,400413,1062455,6126598,1998
Michigan,1568,41963,43531,385029,51128,436156,487284,96518,23555,120072,143627,254076,45058,299134,344192,1038273,79941,1118213,1198154,14.9,1.95,16.8,18.8,14.7,3.60,18.3,21.9,13.3,2.35,15.7,18.0,10.6,0.80,11.4,12.2,2591215,656764,1908190,9827389,1998
Minnesota,2093,45311,47403,131891,29968,161858,191826,35747,14731,50478,65209,76726,25841,102567,128408,379238,44498,423735,468233,10.3,2.30,12.6,14.9,10.9,4.50,15.4,19.9,8.2,2.75,10.9,13.7,8.0,0.95,8.9,9.9,1284009,327821,940643,4748732,1998
Mississippi,1673,28925,30598,163118,20892,184010,204902,50334,10057,60390,70447,100912,18119,119031,137150,451681,31654,483335,514989,21.2,2.70,23.9,26.6,24.4,4.90,29.3,34.2,18.1,3.20,21.3,24.5,16.4,1.15,17.6,18.7,770438,206130,558915,2751183,1998
Missouri,2001,37186,39187,209279,32759,242037,274796,61011,14616,75627,90243,128138,29089,157227,186316,582436,51069,633505,684573,14.5,2.30,16.8,19.1,16.3,3.90,20.2,24.1,12.2,2.80,15.0,17.8,10.7,0.95,11.7,12.6,1438868,374680,1048600,5432071,1998
Montana,1637,31271,32907,44578,5499,50077,55576,12713,2371,15083,17454,28269,4953,33222,38175,129185,9087,138272,147359,19.5,2.40,21.9,24.3,23.7,4.40,28.1,32.5,16.6,2.90,19.5,22.4,14.7,1.05,15.7,16.8,228749,53679,170198,879709,1998
Nebraska,1736,37233,38969,51856,10398,62254,72652,16521,4698,21219,25917,29127,9400,38527,47927,153572,16415,169986,186401,11.5,2.30,13.8,16.1,13.9,4.00,17.9,21.9,8.9,2.85,11.7,14.6,9.3,1.00,10.3,11.3,451179,118551,328757,1654294,1998
Nevada,1786,39867,41653,62182,10948,73130,84078,17499,5614,23112,28726,37682,9266,46948,56214,172839,16140,188979,205119,12.8,2.20,15.0,17.2,12.3,3.90,16.2,20.1,11.2,2.70,13.9,16.6,9.6,0.90,10.5,11.4,487523,142729,337685,1797602,1998
New Hampshire,1956,45401,47357,24196,7595,31791,39386,5427,3277,8704,11981,13827,6767,20594,27361,77249,12007,89256,101263,8.1,2.50,10.6,13.1,7.3,4.45,11.8,16.2,6.4,3.10,9.5,12.6,6.5,1.00,7.5,8.5,300536,73863,216668,1189783,1998
New Jersey,1870,49615,51485,229776,40762,270538,311300,43711,19184,62895,82079,161299,35234,196533,231767,654342,63066,717408,780473,11.2,2.00,13.2,15.2,7.8,3.40,11.2,14.6,10.9,2.40,13.3,15.7,8.0,0.80,8.8,9.6,2049529,562408,1477939,8148286,1998
New Mexico,1619,31445,33063,122722,13836,136557,150393,39222,6356,45578,51934,75145,12250,87395,99645,309777,20548,330325,350872,24.4,2.75,27.1,29.9,29.1,4.75,33.8,38.6,20.8,3.35,24.1,27.5,17.8,1.20,19.0,20.2,503317,134681,361977,1736437,1998
New York,1306,38290,39596,973211,84735,1057946,1142681,253790,36787,290577,327364,658531,75110,733641,808751,2652647,141913,2794560,2936473,21.4,1.90,23.3,25.2,20.4,3.00,23.4,26.4,20.4,2.30,22.7,25.0,14.6,0.80,15.4,16.2,4538620,1241270,3232347,18111072,1998
North Carolina,1478,35982,37460,340863,41618,382481,424099,95724,18887,114611,133497,214728,36439,251167,287606,911428,66678,978106,1044784,17.3,2.10,19.4,21.5,17.4,3.45,20.8,24.3,15.5,2.65,18.2,20.8,12.1,0.85,13.0,13.8,1972024,549790,1381968,7552005,1998
North Dakota,1801,32430,34230,24121,4001,28122,32123,7230,1811,9041,10851,14339,3557,17896,21453,73667,6714,80381,87095,14.9,2.45,17.3,19.8,18.1,4.55,22.6,27.2,11.9,2.95,14.9,17.8,11.8,1.05,12.9,13.9,162123,39968,120408,624343,1998
Ohio,1402,38726,40128,420602,54106,474707,528813,123301,25386,148687,174073,252934,46806,299740,346546,1120530,81747,1202277,1284024,14.6,1.85,16.4,18.3,16.4,3.35,19.8,23.1,12.2,2.20,14.4,16.6,10.0,0.75,10.7,11.5,2888859,752276,2081379,11195534,1998
Oklahoma,1765,32373,34138,182137,22172,204309,226480,51369,11022,62390,73412,116662,19233,135895,155128,499880,33228,533108,566336,20.7,2.50,23.2,25.7,21.5,4.65,26.1,30.8,18.5,3.05,21.5,24.6,15.1,1.00,16.1,17.1,880432,238643,631174,3321130,1998
Oregon,1786,38773,40559,119946,22051,141997,164047,36718,9103,45821,54924,70932,20060,90992,111052,367763,33190,400952,434142,14.2,2.65,16.9,19.5,16.4,4.05,20.4,24.5,11.6,3.30,14.9,18.2,11.1,1.00,12.1,13.1,841888,224082,609630,3314203,1998
Pennsylvania,1349,39116,40464,422182,55761,477943,533704,105436,22465,127901,150366,276195,50090,326285,376375,1189715,87727,1277442,1365169,14.6,1.95,16.5,18.5,14.4,3.10,17.5,20.6,13.1,2.35,15.4,17.8,10.0,0.75,10.7,11.5,2892577,730662,2113600,11913867,1998
Rhode Island,1911,39907,41818,34162,5865,40026,45891,8105,2502,10607,13108,22477,5322,27799,33121,94733,9099,103831,112930,13.9,2.40,16.3,18.7,12.9,3.95,16.8,20.8,12.6,3.00,15.6,18.6,9.7,0.95,10.6,11.6,244990,62970,178403,977299,1998
South Carolina,1788,33465,35253,185672,24263,209935,234197,51110,11024,62134,73158,119160,21666,140826,162492,512754,37373,550127,587500,19.1,2.45,21.5,24.0,19.5,4.25,23.8,28.0,17.1,3.15,20.2,23.4,13.3,0.95,14.3,15.2,974650,261507,695768,3856258,1998
South Dakota,1680,33267,34947,29862,5767,35629,41396,9486,2343,11829,14172,17254,5152,22406,27558,86104,8275,94379,102654,14.8,2.80,17.6,20.4,18.5,4.55,23.1,27.6,11.5,3.45,15.0,18.4,11.9,1.10,13.0,14.1,202455,51318,149691,725671,1998
Tennessee,1677,34188,35865,222164,32683,254847,287529,76135,15520,91654,107174,125938,28379,154317,182696,661403,54030,715433,769463,16.1,2.40,18.5,20.9,20.0,4.10,24.1,28.2,12.9,2.90,15.8,18.7,12.1,1.00,13.1,14.1,1377508,380544,977844,5462020,1998
Texas,1235,35449,36684,1193514,104972,1298486,1403458,379049,54020,433068,487088,742889,89284,832173,921457,2943891,158681,3102571,3261252,20.6,1.80,22.4,24.2,22.5,3.25,25.7,29.0,18.2,2.20,20.4,22.6,14.8,0.80,15.6,16.4,5806350,1681888,4073757,19908844,1998
Utah,2014,41380,43393,75098,16918,92016,108934,25209,8496,33705,42200,39710,14463,54173,68636,190363,22881,213244,236125,10.3,2.35,12.7,15.0,11.5,3.90,15.4,19.3,7.9,2.85,10.7,13.6,8.9,1.05,10.0,11.0,727379,218349,505352,2141771,1998
Vermont,1852,37947,39799,14275,3638,17913,21551,3765,1495,5260,6754,7542,3284,10826,14110,50820,5727,56547,62274,10.0,2.55,12.6,15.1,11.5,4.60,16.1,20.7,7.2,3.15,10.3,13.5,8.6,1.00,9.6,10.6,142269,32695,104692,589133,1998
Virginia,1846,42622,44467,197756,42183,239939,282121,50135,17895,68030,85925,122976,37773,160749,198522,632952,63254,696205,759459,11.7,2.50,14.2,16.7,10.8,3.90,14.7,18.6,10.2,3.10,13.3,16.4,9.3,0.95,10.2,11.2,1692705,462179,1209762,6802581,1998
Washington,2068,44307,46375,171280,35278,206558,241836,41699,15432,57131,72562,108337,31313,139650,170963,516169,53661,569830,623490,11.4,2.35,13.7,16.1,10.7,4.00,14.7,18.7,9.8,2.85,12.7,15.5,9.0,0.95,9.9,10.9,1505300,389017,1103519,5727098,1998
West Virginia,1722,28460,30181,89225,10347,99572,109919,25881,4879,30760,35639,57045,9242,66287,75529,283890,19760,303649,323409,21.7,2.50,24.2,26.7,24.9,4.70,29.6,34.3,18.7,3.00,21.7,24.7,15.7,1.10,16.8,17.9,412017,103892,305357,1804828,1998
Wisconsin,1883,42169,44052,154689,33772,188461,222233,41080,14974,56054,71028,89961,29854,119815,149669,413006,49803,462809,512611,11.1,2.45,13.6,16.0,11.7,4.25,16.0,20.2,8.9,2.90,11.8,14.7,7.9,0.95,8.9,9.8,1389638,351204,1014795,5228679,1998
Wyoming,1750,35868,37617,16668,3089,19757,22846,5351,1335,6686,8021,8875,2789,11664,14453,49480,4806,54286,59092,13.0,2.40,15.4,17.8,17.5,4.40,21.9,26.3,9.6,3.00,12.6,15.6,10.4,1.00,11.4,12.4,128085,30552,92700,477428,1998
Alabama,1469,33840,35309,220295,28117,248412,276528,66230,14099,80329,94427,137117,24296,161413,185709,625251,42217,667468,709685,19.7,2.50,22.2,24.7,22.6,4.80,27.4,32.2,17.0,3.05,20.1,23.1,14.3,0.95,15.3,16.2,1120718,293558,804291,4368014,1999
Alaska,1605,49133,50738,16621,4555,21176,25730,3631,1994,5625,7619,10154,3983,14137,18120,47918,6046,53963,60009,8.8,2.40,11.2,13.6,7.7,4.30,12.0,16.3,7.3,2.85,10.1,13.0,7.8,0.95,8.8,9.7,188567,46880,139424,616255,1999
Arizona,1297,38642,39939,217690,33471,251160,284631,60366,15650,76016,91666,130985,30002,160987,190989,595693,47352,643045,690397,16.3,2.50,18.8,21.3,16.0,4.15,20.2,24.3,14.1,3.20,17.3,20.5,11.8,0.95,12.8,13.7,1338513,377011,929755,5027482,1999
Arkansas,1369,31217,32586,128998,17822,146820,164642,39357,8269,47626,55895,78585,15430,94015,109445,369718,26135,395852,421987,19.2,2.65,21.8,24.5,21.9,4.60,26.5,31.1,16.2,3.20,19.4,22.6,14.1,1.00,15.1,16.1,672733,179878,484875,2617823,1999
California,1111,43924,45035,1712818,141474,1854292,1995766,464391,63180,527571,590751,1148688,126028,1274716,1400744,4349021,213068,4562089,4775157,18.7,1.55,20.2,21.8,19.0,2.60,21.6,24.2,17.3,1.90,19.2,21.1,13.1,0.60,13.7,14.3,9160864,2444897,6625284,33284948,1999
Colorado,1491,45557,47048,106336,24318,130654,154972,25012,11658,36670,48328,65205,20936,86141,107077,339170,36032,375202,411233,9.8,2.20,12.0,14.2,8.4,3.90,12.3,16.2,8.4,2.70,11.1,13.8,8.0,0.85,8.9,9.7,1090250,297502,775216,4224816,1999
Connecticut,1773,51706,53479,65833,19445,85277,104722,10455,9466,19921,29387,43762,16706,60468,77174,219893,29989,249882,279871,7.9,2.35,10.2,12.6,4.7,4.25,9.0,13.2,7.2,2.80,10.0,12.8,6.6,0.90,7.5,8.4,833621,221937,604538,3346516,1999
Delaware,1470,45201,46670,21903,4834,26736,31570,5729,2197,7926,10122,13469,4288,17757,22045,64795,7093,71888,78980,11.5,2.50,14.0,16.5,11.3,4.35,15.7,20.0,9.6,3.10,12.7,15.8,8.5,0.90,9.4,10.3,191046,50544,139782,765873,1999
Florida,1068,36309,37377,602443,67012,669455,736466,152326,31539,183865,215404,389047,57929,446976,504905,1830183,109362,1939545,2048906,16.6,1.85,18.5,20.3,16.2,3.35,19.5,22.9,15.1,2.25,17.3,19.6,11.7,0.70,12.4,13.1,3625467,942071,2577387,15690191,1999
Georgia,1379,39910,41289,342170,50654,392824,443478,92151,24962,117113,142075,218579,43522,262101,305623,938890,74972,1013862,1088834,15.9,2.40,18.3,20.7,15.8,4.25,20.0,24.3,14.0,2.80,16.8,19.6,11.7,0.95,12.7,13.6,2145538,584339,1555980,8008176,1999
Hawaii,2088,44755,46843,35210,7440,42650,50089,9940,3588,13527,17115,20583,6348,26931,33279,113364,11131,124495,135626,11.9,2.55,14.5,17.0,12.9,4.65,17.6,22.2,9.5,2.95,12.5,15.4,9.5,0.95,10.5,11.4,294830,76929,215536,1187891,1999
Idaho,1297,36656,37952,52411,9307,61718,71025,16646,5110,21755,26865,29835,7776,37611,45387,142011,12294,154304,166598,14.3,2.55,16.8,19.4,17.2,5.25,22.5,27.7,11.2,2.95,14.2,17.1,11.2,0.95,12.1,13.1,366841,96858,265667,1271849,1999
Illinois,1299,45214,46513,423480,57373,480853,538225,122608,27406,150013,177419,263072,49505,312577,362082,1151073,85571,1236644,1322215,13.2,1.80,15.0,16.8,14.1,3.20,17.3,20.5,11.4,2.15,13.6,15.7,9.4,0.70,10.1,10.8,3210844,866769,2300811,12198363,1999
Indiana,1354,40654,42008,144054,36636,180690,217325,41693,16767,58459,75226,80267,31255,111522,142777,462991,54892,517883,572774,9.2,2.35,11.6,13.9,9.9,4.00,13.9,17.9,7.2,2.80,10.0,12.8,7.8,0.90,8.7,9.6,1557979,419475,1114166,5965230,1999
Iowa,1483,39537,41019,62786,17020,79806,96826,19605,7729,27333,35062,31684,14830,46514,61344,218128,25212,243340,268552,8.6,2.35,11.0,13.3,10.5,4.20,14.7,18.9,6.1,2.80,8.9,11.7,7.6,0.90,8.5,9.4,727757,185830,522571,2865354,1999
Kansas,1460,39726,41185,84009,17225,101234,118459,24083,7771,31854,39625,49435,15303,64738,80041,244610,24594,269204,293797,11.9,2.40,14.3,16.7,12.8,4.10,16.9,21.0,9.6,2.95,12.6,15.5,9.3,0.95,10.2,11.2,707489,188761,514839,2629867,1999
Kentucky,1382,33732,35114,173227,24880,198106,222986,50497,11512,62009,73521,108665,21481,130146,151627,527747,38802,566549,605350,17.7,2.55,20.2,22.8,19.7,4.50,24.2,28.7,15.2,3.05,18.2,21.3,13.3,1.00,14.3,15.3,978659,256247,713194,3953958,1999
Louisiana,1412,31904,33316,285638,34496,320134,354630,76069,15658,91727,107385,190466,30444,220910,251354,751502,49146,800648,849794,23.6,2.80,26.4,29.2,24.0,4.90,28.9,33.8,21.6,3.40,25.0,28.4,17.2,1.15,18.3,19.5,1212890,317294,883781,4366082,1999
Maine,1398,36902,38300,36698,7508,44205,51713,8205,3048,11253,14300,23511,6790,30301,37091,121745,11377,133122,144499,12.3,2.50,14.8,17.3,11.9,4.45,16.4,20.8,10.5,3.05,13.6,16.6,9.7,0.90,10.6,11.5,298460,68767,223503,1259692,1999
Maryland,1677,49781,51457,103424,32245,135669,167914,18466,15134,33599,48733,66841,27654,94495,122149,369673,47534,417207,464741,7.7,2.40,10.1,12.5,5.3,4.40,9.7,14.1,6.7,2.80,9.5,12.3,7.1,0.90,8.0,8.9,1345403,345934,992965,5210551,1999
Massachusetts,1608,47604,49211,182823,39120,221943,261063,39887,14925,54812,69737,123169,35562,158731,194293,549134,56758,605892,662649,12.4,2.65,15.0,17.7,10.2,3.80,14.0,17.8,11.7,3.35,15.0,18.4,8.8,0.90,9.7,10.6,1478272,392154,1056986,6222911,1999
Michigan,1449,44221,45670,319978,46730,366708,413438,81641,21604,103245,124848,198946,41164,240110,281274,900896,70358,971254,1041612,12.4,1.85,14.2,16.1,12.2,3.25,15.5,18.7,10.7,2.25,13.0,15.2,9.2,0.70,9.9,10.6,2573685,667412,1853540,9785143,1999
