STATE,PR_ALL,PR_YOUTH,MED_HH_INCOME,YEAR
New Jersey,8.7,12.6,44345.0,1995
New Mexico,20.2,32.0,27929.0,1995
New York,15.8,25.4,33805.0,1995
North Carolina,13.1,19.6,31987.0,1995
North Dakota,11.9,15.9,29321.0,1995
Ohio,11.3,18.0,33958.0,1995
Oklahoma,18.2,26.0,26495.0,1995
Oregon,12.5,16.4,34533.0,1995
Pennsylvania,11.4,17.3,34437.0,1995
Rhode Island,11.6,17.0,34611.0,1995
South Carolina,15.7,24.5,30060.0,1995
South Dakota,13.7,20.2,29426.0,1995
Tennessee,14.7,22.1,30016.0,1995
Texas,18.5,26.9,31488.0,1995
Utah,9.7,10.5,35160.0,1995
Vermont,11.2,14.4,32350.0,1995
Virginia,11.3,15.9,36367.0,1995
Washington,10.8,15.1,37015.0,1995
West Virginia,19.9,30.0,25354.0,1995
Wisconsin,8.9,13.9,37572.0,1995
Wyoming,11.5,15.7,30673.0,1995
Alabama,16.7,25.0,29618.0,1996
Alaska,10.6,14.8,44797.0,1996
Arizona,16.3,24.5,32708.0,1996
Arkansas,17.6,25.7,27367.0,1996
California,16.7,25.3,38691.0,1996
Colorado,10.5,14.3,38923.0,1996
Connecticut,9.0,14.8,44981.0,1996
Delaware,9.8,15.3,39701.0,1996
Florida,14.2,22.3,31008.0,1996
Georgia,15.3,23.0,33763.0,1996
Hawaii,11.7,17.9,43677.0,1996
Idaho,11.9,15.9,33279.0,1996
Illinois,12.0,18.4,39490.0,1996
Indiana,9.3,13.0,35502.0,1996
Iowa,9.5,12.6,33721.0,1996
Kansas,10.8,14.3,33610.0,1996
Kentucky,17.5,25.5,30630.0,1996
Louisiana,20.7,29.9,28921.0,1996
Maine,12.0,17.0,33002.0,1996
Maryland,9.7,14.4,44196.0,1996
Massachusetts,9.8,14.7,40686.0,1996
Michigan,12.2,19.0,38266.0,1996
Minnesota,8.8,11.7,39791.0,1996
Mississippi,20.8,29.9,26901.0,1996
Missouri,12.6,18.4,32947.0,1996
Montana,15.1,21.6,28714.0,1996
Nebraska,9.4,12.7,33562.0,1996
Nevada,9.6,13.7,38213.0,1996
New Hampshire,6.3,7.8,40153.0,1996
New Jersey,9.0,13.8,46872.0,1996
New Mexico,20.6,29.8,27014.0,1996
New York,16.3,25.2,35696.0,1996
North Carolina,12.8,18.8,34487.0,1996
North Dakota,11.5,15.0,30798.0,1996
Ohio,11.7,17.0,34198.0,1996
Oklahoma,17.1,25.1,27648.0,1996
Oregon,12.3,17.6,35144.0,1996
Pennsylvania,11.5,16.5,35109.0,1996
Rhode Island,11.8,17.5,36402.0,1996
South Carolina,15.2,23.1,32728.0,1996
South Dakota,13.0,18.3,29810.0,1996
Tennessee,14.8,21.7,31097.0,1996
Texas,17.5,25.8,32773.0,1996
Utah,9.4,11.3,36360.0,1996
Vermont,11.0,14.9,33352.0,1996
