STATE,PR_ALL,PR_YOUTH,MED_HH_INCOME,YEAR
Washington,12.0,15.5,49372.0,2005
West Virginia,18.0,25.5,33466.0,2005
Wisconsin,10.2,14.0,47141.0,2005
Wyoming,10.6,13.6,45501.0,2005
Alabama,16.6,23.1,38811.0,2006
Alaska,10.9,14.6,58572.0,2006
Arizona,14.2,19.8,47315.0,2006
Arkansas,17.3,24.6,36627.0,2006
California,13.1,18.1,56646.0,2006
Colorado,11.6,14.8,52265.0,2006
Connecticut,8.3,10.9,63352.0,2006
Delaware,10.7,14.8,53714.0,2006
Florida,12.6,17.6,45494.0,2006
Georgia,14.8,20.3,46808.0,2006
Hawaii,9.4,11.8,60554.0,2006
Idaho,12.8,16.0,42846.0,2006
Illinois,12.3,17.0,52012.0,2006
Indiana,12.5,17.4,45414.0,2006
Iowa,11.0,13.8,44560.0,2006
Kansas,12.2,15.4,45369.0,2006
Kentucky,17.0,23.1,39318.0,2006
Louisiana,19.4,28.2,39122.0,2006
Maine,12.7,16.9,43472.0,2006
Maryland,8.0,10.1,65041.0,2006
Massachusetts,10.0,12.6,59930.0,2006
Michigan,13.5,18.3,47187.0,2006
Minnesota,9.7,12.0,54022.0,2006
Mississippi,20.9,29.5,34615.0,2006
Missouri,13.8,19.3,42838.0,2006
Montana,14.4,19.3,40299.0,2006
Nebraska,11.3,14.4,45369.0,2006
Nevada,10.5,14.3,52800.0,2006
New Hampshire,8.0,9.6,59265.0,2006
New Jersey,8.7,11.7,64549.0,2006
New Mexico,18.3,25.6,40610.0,2006
New York,14.2,20.1,51340.0,2006
North Carolina,14.6,20.1,42721.0,2006
North Dakota,11.7,14.0,41852.0,2006
Ohio,13.2,18.5,44609.0,2006
Oklahoma,16.7,23.5,38753.0,2006
Oregon,13.4,17.6,46228.0,2006
Pennsylvania,12.0,16.7,46256.0,2006
Rhode Island,11.5,16.0,51324.0,2006
South Carolina,15.7,22.2,41204.0,2006
South Dakota,13.6,17.7,42432.0,2006
Tennessee,16.1,22.6,40368.0,2006
Texas,16.9,23.8,44943.0,2006
Utah,10.7,12.3,51373.0,2006
Vermont,10.2,12.6,47778.0,2006
Virginia,9.6,12.3,56297.0,2006
Washington,11.8,15.5,52571.0,2006
West Virginia,17.6,24.9,35028.0,2006
Wisconsin,10.9,14.7,48784.0,2006
Wyoming,10.3,13.6,47819.0,2006
Alabama,16.6,23.6,40596.0,2007
Alaska,9.8,13.1,62854.0,2007
Arizona,14.1,20.0,49923.0,2007
Arkansas,17.6,25.3,38239.0,2007
California,12.4,17.3,59928.0,2007
Colorado,11.5,15.3,55517.0,2007
Connecticut,7.9,10.8,65969.0,2007
Delaware,10.3,14.5,55988.0,2007
Florida,12.1,17.3,47804.0,2007
Georgia,14.3,19.8,49080.0,2007
Hawaii,8.5,10.8,62613.0,2007
Idaho,12.1,15.9,46136.0,2007
Illinois,11.9,16.6,54141.0,2007
Indiana,12.3,17.1,47422.0,2007
Iowa,11.0,13.7,47324.0,2007
Kansas,11.2,14.7,47341.0,2007
Kentucky,17.2,23.6,40299.0,2007
Louisiana,18.8,26.9,40866.0,2007
Maine,12.2,15.7,45832.0,2007
Maryland,8.3,10.6,67989.0,2007
Massachusetts,10.0,13.0,62383.0,2007
Michigan,13.9,19.3,47931.0,2007
Minnesota,9.5,11.9,55664.0,2007
Mississippi,20.7,29.4,36424.0,2007
Missouri,13.3,18.4,45012.0,2007
Montana,14.1,18.9,43000.0,2007
Nebraska,11.1,14.7,47072.0,2007
Nevada,10.6,14.9,54996.0,2007
New Hampshire,7.3,9.2,62048.0,2007
New Jersey,8.5,11.4,67142.0,2007
New Mexico,17.9,25.2,41509.0,2007
New York,13.8,19.6,53448.0,2007
North Carolina,14.3,19.5,44772.0,2007
North Dakota,11.8,14.0,43936.0,2007
Ohio,13.1,18.4,46645.0,2007
Oklahoma,15.8,22.2,41551.0,2007
Oregon,13.0,17.2,48735.0,2007
Pennsylvania,11.6,16.2,48562.0,2007
Rhode Island,11.9,16.9,52755.0,2007
South Carolina,15.1,21.1,43508.0,2007
South Dakota,13.2,17.5,43507.0,2007
Tennessee,15.8,22.5,42389.0,2007
Texas,16.3,23.1,47563.0,2007
Utah,9.8,11.3,55220.0,2007
Vermont,10.1,12.4,49698.0,2007
Virginia,9.9,12.9,59575.0,2007
Washington,11.4,15.0,55628.0,2007
West Virginia,17.1,23.4,37057.0,2007
Wisconsin,10.8,14.5,50567.0,2007
Wyoming,9.5,12.8,52433.0,2007
Alabama,15.9,22.1,42586.0,2008
Alaska,9.2,12.4,67332.0,2008
Arizona,14.7,20.7,51009.0,2008
Arkansas,17.3,24.7,38820.0,2008
California,13.3,18.5,61017.0,2008
Colorado,11.2,14.4,57184.0,2008
Connecticut,9.1,11.8,68294.0,2008
Delaware,10.3,14.3,58380.0,2008
Florida,13.3,18.4,47802.0,2008
Georgia,14.7,20.2,50834.0,2008
Hawaii,9.3,10.9,66701.0,2008
Idaho,12.5,15.8,47561.0,2008
Illinois,12.2,16.9,56230.0,2008
Indiana,12.9,17.9,48010.0,2008
Iowa,11.4,14.2,49007.0,2008
Kansas,11.3,14.6,50174.0,2008
Kentucky,17.3,23.4,41489.0,2008
Louisiana,17.6,25.1,43635.0,2008
Maine,12.6,16.5,46419.0,2008
Maryland,8.2,10.4,70482.0,2008
Massachusetts,10.1,12.3,65304.0,2008
Michigan,14.4,19.3,48606.0,2008
Minnesota,9.6,11.4,57318.0,2008
Mississippi,20.8,29.5,37818.0,2008
Missouri,13.5,18.9,46847.0,2008
Montana,14.1,19.2,43948.0,2008
Nebraska,10.8,13.7,49731.0,2008
Nevada,11.2,15.0,56432.0,2008
New Hampshire,7.8,9.4,63235.0,2008
New Jersey,8.7,12.3,70347.0,2008
New Mexico,17.0,24.1,43719.0,2008
New York,13.7,19.3,55980.0,2008
North Carolina,14.6,19.9,46574.0,2008
North Dakota,11.5,14.2,45996.0,2008
Ohio,13.3,18.5,48011.0,2008
Oklahoma,15.7,22.0,42836.0,2008
Oregon,13.5,17.8,50165.0,2008
Pennsylvania,12.1,16.6,50702.0,2008
Rhode Island,12.1,16.5,54562.0,2008
South Carolina,15.7,21.7,44695.0,2008
South Dakota,12.7,17.6,46244.0,2008
Tennessee,15.5,21.8,43610.0,2008
Texas,15.8,22.5,50049.0,2008
Utah,9.7,10.9,56820.0,2008
Vermont,10.4,12.8,52111.0,2008
Virginia,10.2,13.6,61210.0,2008
Washington,11.3,14.3,58081.0,2008
West Virginia,17.4,23.9,37528.0,2008
Wisconsin,10.5,13.6,52103.0,2008
Wyoming,9.5,11.9,54735.0,2008
Alabama,17.5,24.6,40547.0,2009
Alaska,9.1,12.3,66712.0,2009
Arizona,16.5,23.3,48711.0,2009
Arkansas,18.5,26.6,37888.0,2009
California,14.2,19.9,58925.0,2009
Colorado,12.6,16.6,55735.0,2009
Connecticut,9.3,12.0,66906.0,2009
Delaware,11.2,16.7,56985.0,2009
Florida,15.0,21.5,44755.0,2009
Georgia,16.6,22.7,47469.0,2009
Hawaii,10.4,13.7,63741.0,2009
Idaho,14.4,18.5,44644.0,2009
Illinois,13.3,18.7,53974.0,2009
Indiana,14.4,19.9,45427.0,2009
Iowa,11.8,15.6,48065.0,2009
Kansas,13.2,17.1,47709.0,2009
Kentucky,18.4,25.3,40061.0,2009
Louisiana,17.6,24.8,42460.0,2009
Maine,12.6,17.5,45708.0,2009
Maryland,9.2,11.8,69193.0,2009
Massachusetts,10.3,13.3,64057.0,2009
Michigan,16.1,22.2,45254.0,2009
Minnesota,10.9,13.9,55621.0,2009
Mississippi,21.8,30.7,36764.0,2009
Missouri,14.6,20.7,45149.0,2009
Montana,15.0,20.9,42222.0,2009
Nebraska,12.2,15.3,47470.0,2009
Nevada,12.4,17.6,53310.0,2009
New Hampshire,8.6,11.0,60734.0,2009
New Jersey,9.4,13.3,68444.0,2009
New Mexico,18.2,25.8,42830.0,2009
New York,14.2,20.2,54554.0,2009
North Carolina,16.2,22.5,43754.0,2009
North Dakota,11.7,14.1,47898.0,2009
Ohio,15.1,21.6,45467.0,2009
Oklahoma,16.1,22.1,41716.0,2009
Oregon,14.3,19.4,48325.0,2009
Pennsylvania,12.5,17.1,49501.0,2009
Rhode Island,12.0,17.9,53243.0,2009
South Carolina,17.1,24.4,42580.0,2009
South Dakota,14.2,18.9,45048.0,2009
Tennessee,17.2,24.0,41715.0,2009
Texas,17.1,24.3,48286.0,2009
Utah,11.7,12.9,55183.0,2009
Vermont,11.5,14.0,51219.0,2009
Virginia,10.6,14.0,59372.0,2009
Washington,12.3,16.2,56479.0,2009
West Virginia,17.8,24.1,37423.0,2009
Wisconsin,12.4,16.7,49994.0,2009
Wyoming,10.2,13.2,54400.0,2009
Alabama,18.9,27.4,40538.0,2010
Alaska,11.0,14.8,63456.0,2010
Arizona,17.6,25.0,46787.0,2010
Arkansas,18.7,27.3,38413.0,2010
California,15.8,22.0,57664.0,2010
Colorado,13.2,17.1,54411.0,2010
Connecticut,10.1,12.8,64321.0,2010
Delaware,11.9,17.8,56172.0,2010
Florida,16.5,23.6,44390.0,2010
Georgia,18.0,25.0,46252.0,2010
Hawaii,11.1,14.7,62774.0,2010
Idaho,15.8,19.8,43259.0,2010
Illinois,13.8,19.4,52967.0,2010
Indiana,15.3,21.6,44616.0,2010
Iowa,12.5,16.2,48031.0,2010
Kansas,13.5,18.1,47888.0,2010
Kentucky,18.9,26.1,40089.0,2010
Louisiana,18.8,27.4,42510.0,2010
Maine,13.1,18.2,45882.0,2010
Maryland,9.9,13.1,68933.0,2010
Massachusetts,11.4,14.4,62133.0,2010
Michigan,16.7,23.4,45354.0,2010
Minnesota,11.5,15.0,55422.0,2010
Mississippi,22.4,32.4,36992.0,2010
Missouri,15.3,21.0,44306.0,2010
Montana,15.2,21.1,42303.0,2010
Nebraska,12.6,17.3,48415.0,2010
Nevada,14.8,21.3,50987.0,2010
New Hampshire,8.6,10.8,60917.0,2010
New Jersey,10.2,14.3,67719.0,2010
New Mexico,19.8,28.5,42186.0,2010
New York,15.0,21.5,54047.0,2010
North Carolina,17.4,24.6,43417.0,2010
North Dakota,12.5,15.7,48878.0,2010
Ohio,15.8,23.1,45151.0,2010
Oklahoma,16.8,24.4,42076.0,2010
Oregon,15.8,21.7,46536.0,2010
Pennsylvania,13.4,18.9,49245.0,2010
Rhode Island,14.1,19.9,52053.0,2010
South Carolina,18.1,26.0,42117.0,2010
South Dakota,14.6,19.4,45861.0,2010
Tennessee,17.8,25.9,41461.0,2010
Texas,17.9,25.7,48622.0,2010
Utah,13.3,15.9,54740.0,2010
Vermont,12.4,15.9,49393.0,2010
Virginia,11.1,14.6,60665.0,2010
Washington,13.5,18.2,55584.0,2010
West Virginia,18.2,25.7,38241.0,2010
Wisconsin,13.2,19.0,48974.0,2010
Wyoming,11.4,14.9,53757.0,2010
Alabama,19.1,27.6,41427.0,2011
Alaska,10.8,14.7,65699.0,2011
Arizona,19.0,27.2,46710.0,2011
Arkansas,19.3,27.8,38889.0,2011
California,16.6,22.8,57275.0,2011
Colorado,13.4,17.7,55530.0,2011
Connecticut,10.8,14.6,65822.0,2011
Delaware,12.6,18.8,58159.0,2011
Florida,17.0,25.1,44250.0,2011
Georgia,19.2,26.6,45886.0,2011
Hawaii,12.1,16.8,62071.0,2011
Idaho,16.5,21.3,43345.0,2011
Illinois,14.9,21.3,53271.0,2011
Indiana,15.8,22.6,46410.0,2011
Iowa,12.7,17.1,49545.0,2011
Kansas,13.8,18.8,48844.0,2011
Kentucky,19.1,27.2,41141.0,2011
Louisiana,20.5,28.8,41804.0,2011
Maine,14.2,19.3,46160.0,2011
Maryland,10.2,13.9,70075.0,2011
Massachusetts,11.6,15.3,63126.0,2011
Michigan,17.5,24.6,45931.0,2011
Minnesota,11.8,15.3,56944.0,2011
Mississippi,22.8,32.4,36963.0,2011
Missouri,15.8,22.3,45231.0,2011
Montana,15.2,20.9,44011.0,2011
Nebraska,12.9,17.6,50281.0,2011
Nevada,15.8,22.2,49099.0,2011
New Hampshire,9.0,12.2,62436.0,2011
New Jersey,10.4,14.6,67574.0,2011
New Mexico,20.9,29.4,42097.0,2011
New York,16.1,22.8,55147.0,2011
North Carolina,17.8,25.4,44028.0,2011
North Dakota,12.0,14.8,52135.0,2011
Ohio,16.3,23.9,45803.0,2011
Oklahoma,17.3,23.9,43232.0,2011
Oregon,17.3,23.4,46876.0,2011
Pennsylvania,13.7,19.4,50221.0,2011
Rhode Island,14.7,21.5,53152.0,2011
South Carolina,18.8,27.5,42477.0,2011
South Dakota,14.1,19.2,48188.0,2011
Tennessee,18.4,26.5,41691.0,2011
Texas,18.5,26.6,49390.0,2011
Utah,13.6,16.2,55802.0,2011
Vermont,11.9,15.8,52033.0,2011
Virginia,11.6,15.6,61877.0,2011
Washington,13.9,18.5,56811.0,2011
West Virginia,18.7,26.1,38587.0,2011
Wisconsin,13.1,18.4,50401.0,2011
Wyoming,11.3,15.5,56044.0,2011
Alabama,19.0,27.6,41610.0,2012
Alaska,10.8,15.3,66503.0,2012
Arizona,18.7,27.0,47796.0,2012
Arkansas,19.6,28.1,40151.0,2012
California,17.0,23.8,58322.0,2012
Colorado,13.6,18.1,56880.0,2012
Connecticut,10.6,14.6,67275.0,2012
Delaware,12.7,19.1,58326.0,2012
Florida,17.2,25.6,45006.0,2012
Georgia,19.2,27.3,47125.0,2012
Hawaii,11.8,17.2,66086.0,2012
Idaho,16.0,21.3,45296.0,2012
Illinois,14.7,20.6,55126.0,2012
Indiana,15.5,22.1,46954.0,2012
Iowa,12.7,16.1,50997.0,2012
Kansas,14.0,19.0,50140.0,2012
Kentucky,19.3,26.5,41717.0,2012
Louisiana,20.1,28.6,42998.0,2012
Maine,14.4,19.8,46856.0,2012
Maryland,10.4,14.1,71169.0,2012
Massachusetts,11.9,15.4,65378.0,2012
Michigan,17.4,24.7,46793.0,2012
Minnesota,11.4,14.6,58828.0,2012
Mississippi,23.8,33.9,37179.0,2012
Missouri,16.2,22.6,45320.0,2012
Montana,15.6,21.1,45030.0,2012
Nebraska,12.8,17.4,50766.0,2012
Nevada,16.2,23.4,49909.0,2012
New Hampshire,9.7,13.6,63157.0,2012
New Jersey,10.7,15.4,69705.0,2012
New Mexico,20.6,28.9,42828.0,2012
New York,15.9,23.0,56357.0,2012
North Carolina,18.0,25.8,45195.0,2012
North Dakota,11.2,13.7,54579.0,2012
Ohio,16.2,23.6,46873.0,2012
Oklahoma,17.2,24.1,44336.0,2012
Oregon,17.0,22.7,49090.0,2012
Pennsylvania,13.7,19.6,51225.0,2012
Rhode Island,14.2,20.8,54002.0,2012
South Carolina,18.3,26.8,43290.0,2012
South Dakota,13.6,18.5,48439.0,2012
Tennessee,18.0,26.1,42743.0,2012
Texas,17.9,25.8,50747.0,2012
Utah,13.0,15.5,57067.0,2012
Vermont,11.9,15.7,52700.0,2012
Virginia,11.8,15.5,61782.0,2012
Washington,13.6,18.5,57574.0,2012
West Virginia,18.0,25.1,40188.0,2012
Wisconsin,13.2,18.3,51063.0,2012
Wyoming,11.9,15.4,55104.0,2012
Alabama,18.9,27.4,42882.0,2013
Alaska,10.1,13.6,70058.0,2013
Arizona,18.6,26.6,48504.0,2013
Arkansas,19.4,28.3,40605.0,2013
California,16.8,23.5,60185.0,2013
Colorado,12.9,16.8,58942.0,2013
Connecticut,10.7,14.5,67262.0,2013
Delaware,12.9,19.1,58244.0,2013
Florida,17.1,24.8,46021.0,2013
Georgia,19.0,26.7,47765.0,2013
Hawaii,11.2,14.4,67798.0,2013
Idaho,15.6,19.2,46621.0,2013
Illinois,14.6,20.6,56212.0,2013
Indiana,15.8,21.9,47508.0,2013
Iowa,12.6,16.0,52286.0,2013
Kansas,13.9,18.4,50892.0,2013
Kentucky,18.8,25.5,43307.0,2013
Louisiana,20.0,28.4,44234.0,2013
Maine,14.0,18.2,47095.0,2013
Maryland,10.2,13.9,72482.0,2013
Massachusetts,11.9,16.2,66794.0,2013
Michigan,17.0,23.7,48200.0,2013
Minnesota,11.2,14.0,60664.0,2013
Mississippi,23.9,34.0,38191.0,2013
Missouri,15.8,22.2,46905.0,2013
Montana,16.1,20.8,46893.0,2013
Nebraska,12.9,17.1,51502.0,2013
Nevada,15.8,22.7,51250.0,2013
New Hampshire,9.0,10.9,64064.0,2013
New Jersey,11.4,16.5,70224.0,2013
New Mexico,21.4,30.1,44026.0,2013
New York,16.0,22.9,57255.0,2013
North Carolina,17.8,25.1,45946.0,2013
North Dakota,11.6,12.4,56800.0,2013
Ohio,15.9,22.7,48138.0,2013
Oklahoma,16.7,23.8,45724.0,2013
Oregon,16.5,21.6,50228.0,2013
Pennsylvania,13.7,19.2,52005.0,2013
Rhode Island,14.7,22.0,55015.0,2013
South Carolina,18.5,27.3,44310.0,2013
South Dakota,14.0,18.6,49200.0,2013
Tennessee,17.8,26.5,44268.0,2013
Texas,17.5,25.0,51714.0,2013
Utah,12.6,14.6,59715.0,2013
Vermont,12.3,15.2,52511.0,2013
Virginia,11.7,15.7,62745.0,2013
Washington,14.1,18.6,58431.0,2013
West Virginia,18.4,26.3,41195.0,2013
Wisconsin,13.5,18.4,51474.0,2013
Wyoming,10.9,13.5,58424.0,2013
Alabama,19.2,27.4,42917.0,2014
Alaska,11.4,15.5,70898.0,2014
Arizona,18.2,25.6,50036.0,2014
Arkansas,18.7,26.3,41335.0,2014
California,16.4,22.6,61927.0,2014
Colorado,12.1,15.6,61324.0,2014
Connecticut,10.8,14.9,70007.0,2014
Delaware,13.0,19.2,59853.0,2014
Florida,16.6,24.2,47439.0,2014
Georgia,18.4,26.3,49240.0,2014
Hawaii,11.5,15.2,69549.0,2014
Idaho,14.8,19.0,47572.0,2014
Illinois,14.3,20.1,57458.0,2014
Indiana,15.2,21.2,49384.0,2014
Iowa,12.3,15.5,53816.0,2014
Kansas,13.5,17.6,52392.0,2014
Kentucky,19.0,25.9,42914.0,2014
Louisiana,19.9,28.0,44680.0,2014
Maine,14.0,19.0,49381.0,2014
Maryland,10.4,13.8,73851.0,2014
Massachusetts,11.7,15.3,69200.0,2014
Michigan,16.2,22.6,49755.0,2014
Minnesota,11.4,14.8,61473.0,2014
Mississippi,21.9,30.7,39738.0,2014
Missouri,15.5,21.3,48288.0,2014
Montana,15.2,19.2,46608.0,2014
Nebraska,12.3,16.0,52803.0,2014
Nevada,15.4,22.2,51487.0,2014
New Hampshire,9.2,12.6,66469.0,2014
New Jersey,11.1,15.8,71968.0,2014
New Mexico,20.6,28.0,44905.0,2014
New York,16.0,22.9,58771.0,2014
North Carolina,17.2,24.1,46596.0,2014
North Dakota,11.1,13.7,60227.0,2014
Ohio,15.8,22.7,49349.0,2014
Oklahoma,16.6,22.4,47524.0,2014
Oregon,16.4,21.3,51088.0,2014
Pennsylvania,13.6,19.2,53224.0,2014
Rhode Island,14.8,21.2,54797.0,2014
South Carolina,17.9,26.4,45337.0,2014
South Dakota,14.1,18.4,51059.0,2014
Tennessee,18.2,25.9,44357.0,2014
Texas,17.2,24.5,53067.0,2014
Utah,11.8,13.4,60943.0,2014
Vermont,12.0,15.4,54153.0,2014
Virginia,11.8,15.9,64923.0,2014
Washington,13.2,17.5,61358.0,2014
West Virginia,18.3,25.0,41030.0,2014
Wisconsin,13.2,18.4,52632.0,2014
Wyoming,11.2,13.7,58291.0,2014
Alabama,18.5,26.5,44833.0,2015
Alaska,10.4,14.5,73391.0,2015
Arizona,17.4,24.7,51473.0,2015
Arkansas,18.7,26.4,42046.0,2015
California,15.4,21.2,64483.0,2015
Colorado,11.5,14.8,63945.0,2015
Connecticut,10.6,14.6,71333.0,2015
Delaware,12.6,19.1,61327.0,2015
Florida,15.8,23.4,49416.0,2015
Georgia,17.2,24.7,51225.0,2015
Hawaii,10.7,14.5,73097.0,2015
Idaho,14.7,17.7,48311.0,2015
Illinois,13.6,19.1,59590.0,2015
Indiana,14.4,20.4,50510.0,2015
Iowa,12.1,14.9,54843.0,2015
Kansas,12.9,16.9,53802.0,2015
Kentucky,18.3,25.3,45178.0,2015
Louisiana,19.5,28.1,45829.0,2015
Maine,13.2,17.5,51419.0,2015
Maryland,9.9,13.9,75784.0,2015
Massachusetts,11.5,14.9,70659.0,2015
Michigan,15.7,22.2,51063.0,2015
Minnesota,10.2,13.1,63459.0,2015
Mississippi,22.1,31.5,40630.0,2015
Missouri,14.8,20.4,50200.0,2015
Montana,14.4,18.8,49650.0,2015
Nebraska,12.2,15.9,55073.0,2015
Nevada,14.9,21.6,52544.0,2015
New Hampshire,8.4,11.0,70003.0,2015
New Jersey,10.8,15.5,72337.0,2015
New Mexico,19.8,27.2,45524.0,2015
New York,15.5,22.3,60805.0,2015
North Carolina,16.4,23.4,47884.0,2015
North Dakota,10.7,12.1,61674.0,2015
Ohio,14.8,21.2,51086.0,2015
Oklahoma,16.0,22.0,48595.0,2015
Oregon,15.2,19.8,54074.0,2015
Pennsylvania,13.1,19.1,55683.0,2015
Rhode Island,14.1,20.6,57265.0,2015
South Carolina,16.8,24.4,47308.0,2015
South Dakota,13.5,17.7,53263.0,2015
Tennessee,16.7,24.1,47243.0,2015
Texas,15.9,22.9,55668.0,2015
Utah,11.2,12.8,62961.0,2015
Vermont,10.4,13.7,56883.0,2015
Virginia,11.2,15.0,66263.0,2015
Washington,12.2,15.7,64080.0,2015
West Virginia,18.0,24.7,41969.0,2015
Wisconsin,12.1,16.5,55623.0,2015
Wyoming,10.6,13.0,61213.0,2015
Alabama,17.2,24.7,46309.0,2016
Alaska,9.9,13.6,76144.0,2016
Arizona,16.4,23.6,53481.0,2016
Arkansas,17.2,24.0,44406.0,2016
California,14.4,19.9,67715.0,2016
Colorado,11.0,13.4,65718.0,2016
Connecticut,9.9,13.1,73380.0,2016
Delaware,11.8,17.7,62112.0,2016
Florida,14.8,21.3,50857.0,2016
Georgia,16.1,23.1,53468.0,2016
Hawaii,9.5,11.2,74659.0,2016
Idaho,13.8,16.6,51647.0,2016
Illinois,13.0,17.8,60977.0,2016
Indiana,14.0,19.1,52289.0,2016
Iowa,11.7,14.6,56354.0,2016
Kansas,12.2,14.3,54828.0,2016
Kentucky,18.2,24.4,46610.0,2016
Louisiana,20.1,28.4,45374.0,2016
Maine,12.3,16.7,52926.0,2016
Maryland,9.7,13.0,78787.0,2016
Massachusetts,10.5,13.6,75207.0,2016
Michigan,14.9,20.7,52436.0,2016
Minnesota,9.9,12.5,65583.0,2016
Mississippi,21.0,30.2,41793.0,2016
Missouri,14.0,19.2,51713.0,2016
Montana,13.4,16.1,50265.0,2016
Nebraska,11.3,13.9,56979.0,2016
Nevada,14.1,19.9,55201.0,2016
New Hampshire,7.6,8.5,70986.0,2016
New Jersey,10.4,14.5,76212.0,2016
New Mexico,19.1,27.8,46844.0,2016
New York,14.8,20.8,62700.0,2016
North Carolina,15.4,21.7,50595.0,2016
North Dakota,10.5,11.9,61898.0,2016
Ohio,14.5,20.4,52357.0,2016
Oklahoma,16.1,22.5,49204.0,2016
Oregon,13.4,17.2,57379.0,2016
Pennsylvania,12.9,18.4,56897.0,2016
Rhode Island,13.3,18.7,60046.0,2016
South Carolina,15.3,23.0,49587.0,2016
South Dakota,12.9,16.6,54926.0,2016
Tennessee,15.8,22.6,48506.0,2016
Texas,15.6,22.4,56583.0,2016
Utah,10.2,11.0,65931.0,2016
Vermont,11.3,13.5,57661.0,2016
Virginia,11.0,14.3,68127.0,2016
Washington,11.3,13.9,67064.0,2016
West Virginia,17.9,23.9,43175.0,2016
Wisconsin,11.8,15.7,56808.0,2016
Wyoming,10.9,11.6,61686.0,2016
Alabama,16.9,24.4,48193.0,2017
Alaska,11.0,14.5,74058.0,2017
Arizona,14.9,21.0,56508.0,2017
Arkansas,16.3,22.5,45916.0,2017
California,13.3,18.1,71785.0,2017
Colorado,10.3,12.2,69113.0,2017
Connecticut,9.7,13.0,74428.0,2017
Delaware,13.0,17.7,64085.0,2017
Florida,14.1,20.6,52582.0,2017
Georgia,15.1,21.5,56117.0,2017
Hawaii,9.5,11.9,77936.0,2017
Idaho,12.6,14.8,52280.0,2017
Illinois,12.5,17.0,63044.0,2017
Indiana,13.3,17.8,54134.0,2017
Iowa,10.8,12.6,58706.0,2017
Kansas,11.9,14.7,56382.0,2017
Kentucky,17.1,22.1,48332.0,2017
Louisiana,19.6,27.7,46283.0,2017
Maine,11.3,14.2,55980.0,2017
Maryland,9.4,12.4,80711.0,2017
Massachusetts,10.5,13.5,77385.0,2017
Michigan,14.1,19.6,54840.0,2017
Minnesota,9.5,11.7,68364.0,2017
Mississippi,19.9,27.6,43595.0,2017
Missouri,13.4,18.5,53506.0,2017
Montana,12.7,15.9,53262.0,2017
Nebraska,10.7,13.7,59913.0,2017
Nevada,13.3,19.2,57932.0,2017
New Hampshire,7.7,10.0,73638.0,2017
New Jersey,10.0,13.8,80106.0,2017
New Mexico,19.0,25.9,47086.0,2017
New York,14.1,19.9,64783.0,2017
North Carolina,14.7,21.0,52797.0,2017
North Dakota,10.2,11.4,62400.0,2017
Ohio,13.9,19.8,54077.0,2017
Oklahoma,15.8,21.3,50051.0,2017
Oregon,13.2,16.5,60123.0,2017
Pennsylvania,12.5,16.9,59165.0,2017
Rhode Island,12.3,18.2,62923.0,2017
South Carolina,15.4,22.3,50675.0,2017
South Dakota,12.8,16.3,56871.0,2017
Tennessee,15.0,21.1,51319.0,2017
Texas,14.7,21.0,59195.0,2017
Utah,9.7,10.6,68395.0,2017
Vermont,10.8,12.8,58271.0,2017
Virginia,10.7,14.0,71518.0,2017
Washington,11.0,14.2,70942.0,2017
West Virginia,18.5,24.4,43238.0,2017
Wisconsin,11.3,14.6,59300.0,2017
Wyoming,10.8,12.9,61279.0,2017
Alabama,16.8,23.9,49881.0,2018
Alaska,11.1,14.5,74912.0,2018
Arizona,14.1,20.4,59079.0,2018
Arkansas,16.8,23.8,47094.0,2018
California,12.8,17.4,75250.0,2018
Colorado,9.7,12.1,71949.0,2018
Connecticut,10.3,13.8,76366.0,2018
Delaware,12.2,17.6,65467.0,2018
Florida,13.7,20.0,55433.0,2018
Georgia,14.5,21.0,58634.0,2018
Hawaii,9.0,11.8,80527.0,2018
Idaho,11.7,14.2,55524.0,2018
Illinois,12.1,16.2,65063.0,2018
Indiana,13.0,17.5,55725.0,2018
Iowa,11.2,13.5,60071.0,2018
Kansas,11.9,14.8,58150.0,2018
Kentucky,16.7,22.3,50189.0,2018
Louisiana,18.7,26.5,48021.0,2018
Maine,11.6,14.8,55579.0,2018
Maryland,9.1,12.1,83076.0,2018
Massachusetts,10.0,12.4,79817.0,2018
Michigan,14.0,19.3,56640.0,2018
Minnesota,9.6,11.5,70295.0,2018
Mississippi,19.8,28.2,44740.0,2018
Missouri,13.2,18.3,54412.0,2018
Montana,12.9,16.4,55248.0,2018
Nebraska,11.0,12.9,59724.0,2018
Nevada,13.1,18.4,58740.0,2018
New Hampshire,7.6,10.1,75322.0,2018
New Jersey,9.5,13.5,81777.0,2018
New Mexico,18.8,25.3,47405.0,2018
New York,13.7,18.8,67648.0,2018
North Carolina,14.1,20.2,53922.0,2018
North Dakota,10.6,11.0,65250.0,2018
Ohio,13.8,19.2,56155.0,2018
Oklahoma,15.5,21.4,51914.0,2018
Oregon,12.5,15.7,63168.0,2018
Pennsylvania,12.2,16.7,60891.0,2018
Rhode Island,12.8,18.0,63787.0,2018
South Carolina,15.2,22.1,52449.0,2018
South Dakota,12.9,16.1,57041.0,2018
Tennessee,15.2,21.8,52366.0,2018
Texas,14.9,21.1,60632.0,2018
Utah,9.1,9.7,71381.0,2018
Vermont,10.7,12.2,60917.0,2018
Virginia,10.7,13.8,72600.0,2018
Washington,10.3,12.6,74023.0,2018
West Virginia,17.4,23.2,44038.0,2018
Wisconsin,11.1,14.1,60779.0,2018
