,COUNTY_FULL,STATE_NAME,YEAR,UE_RATE
104,BROWN COUNTY,Minnesota,2021,3.4
105,HENNEPIN COUNTY,Minnesota,2021,3.8
106,AITKIN COUNTY,Minnesota,2021,5.2
107,GRANT COUNTY,Minnesota,2021,4.0
108,KANABEC COUNTY,Minnesota,2021,5.7
109,LYON COUNTY,Minnesota,2021,3.0
110,FILLMORE COUNTY,Minnesota,2021,3.3
111,CROW WING COUNTY,Minnesota,2021,4.4
112,DODGE COUNTY,Minnesota,2021,3.4
113,LAKE OF THE WOODS COUNTY,Minnesota,2021,4.0
114,CHISAGO COUNTY,Minnesota,2021,4.1
115,ITASCA COUNTY,Minnesota,2021,5.1
116,CLEARWATER COUNTY,Minnesota,2021,6.5
117,JACKSON COUNTY,Minnesota,2021,3.5
118,FARIBAULT COUNTY,Minnesota,2021,4.1
119,DAKOTA COUNTY,Minnesota,2021,3.5
120,CHIPPEWA COUNTY,Minnesota,2021,3.2
121,CLAY COUNTY,Minnesota,2021,3.0
122,LE SUEUR COUNTY,Minnesota,2021,4.6
123,HUBBARD COUNTY,Minnesota,2021,4.4
124,FREEBORN COUNTY,Minnesota,2021,3.8
125,LAKE COUNTY,Minnesota,2021,3.9
126,HOUSTON COUNTY,Minnesota,2021,3.1
127,GOODHUE COUNTY,Minnesota,2021,3.5
128,KANDIYOHI COUNTY,Minnesota,2021,3.9
129,ANOKA COUNTY,Minnesota,2021,3.8
131,RED LAKE COUNTY,Minnesota,2021,6.5
132,NORMAN COUNTY,Minnesota,2021,6.4
133,MARTIN COUNTY,Minnesota,2021,5.4
134,SWIFT COUNTY,Minnesota,2021,5.9
135,PENNINGTON COUNTY,Minnesota,2021,6.2
136,OTTER TAIL COUNTY,Minnesota,2021,5.5
137,SHERBURNE COUNTY,Minnesota,2021,6.2
138,STEARNS COUNTY,Minnesota,2021,5.8
139,MAHNOMEN COUNTY,Minnesota,2021,13.2
140,PINE COUNTY,Minnesota,2021,8.8
141,ROCK COUNTY,Minnesota,2021,3.1
142,MEEKER COUNTY,Minnesota,2021,5.4
143,TRAVERSE COUNTY,Minnesota,2021,4.5
144,MURRAY COUNTY,Minnesota,2021,5.2
145,MORRISON COUNTY,Minnesota,2021,6.9
146,STEELE COUNTY,Minnesota,2021,5.5
147,WASECA COUNTY,Minnesota,2021,6.3
148,SAINT LOUIS COUNTY,Minnesota,2021,7.3
149,RICE COUNTY,Minnesota,2021,5.4
150,WATONWAN COUNTY,Minnesota,2021,4.7
151,YELLOW MEDICINE COUNTY,Minnesota,2021,4.6
152,REDWOOD COUNTY,Minnesota,2021,5.6
153,STEVENS COUNTY,Minnesota,2021,3.3
154,NOBLES COUNTY,Minnesota,2021,4.3
155,TODD COUNTY,Minnesota,2021,5.4
156,PIPESTONE COUNTY,Minnesota,2021,4.1
157,WINONA COUNTY,Minnesota,2021,5.0
158,NICOLLET COUNTY,Minnesota,2021,4.9
159,WILKIN COUNTY,Minnesota,2021,4.2
160,WADENA COUNTY,Minnesota,2021,7.8
161,MCLEOD COUNTY,Minnesota,2021,5.8
162,MARSHALL COUNTY,Minnesota,2021,6.6
163,WRIGHT COUNTY,Minnesota,2021,5.6
164,MOWER COUNTY,Minnesota,2021,5.1
165,WABASHA COUNTY,Minnesota,2021,5.4
166,POLK COUNTY,Minnesota,2021,5.7
167,RAMSEY COUNTY,Minnesota,2021,7.0
168,ROSEAU COUNTY,Minnesota,2021,5.8
169,POPE COUNTY,Minnesota,2021,4.5
170,MILLE LACS COUNTY,Minnesota,2021,8.6
171,WASHINGTON COUNTY,Minnesota,2021,5.7
172,RENVILLE COUNTY,Minnesota,2021,5.8
173,SCOTT COUNTY,Minnesota,2021,5.9
174,OLMSTED COUNTY,Minnesota,2021,5.5
175,SIBLEY COUNTY,Minnesota,2021,5.7
176,BECKER COUNTY,Minnesota,2020,6.3
177,CARLTON COUNTY,Minnesota,2020,7.3
178,LAC QUI PARLE COUNTY,Minnesota,2020,4.8
179,DOUGLAS COUNTY,Minnesota,2020,4.8
180,COOK COUNTY,Minnesota,2020,8.4
181,ISANTI COUNTY,Minnesota,2020,6.8
182,BIG STONE COUNTY,Minnesota,2020,4.8
183,KITTSON COUNTY,Minnesota,2020,4.7
184,CASS COUNTY,Minnesota,2020,9.2
185,LINCOLN COUNTY,Minnesota,2020,4.5
186,COTTONWOOD COUNTY,Minnesota,2020,4.8
