,COUNTY_FULL,STATE_NAME,YEAR,UE_RATE
115,Itasca County                   ,Minnesota,2021,5.1
116,Clearwater County               ,Minnesota,2021,6.5
117,Jackson County                  ,Minnesota,2021,3.5
118,Faribault County                ,Minnesota,2021,4.1
119,Dakota County                   ,Minnesota,2021,3.5
120,Chippewa County                 ,Minnesota,2021,3.2
121,Clay County                     ,Minnesota,2021,3.0
122,Le Sueur County                 ,Minnesota,2021,4.6
123,Hubbard County                  ,Minnesota,2021,4.4
124,Freeborn County                 ,Minnesota,2021,3.8
125,Lake County                     ,Minnesota,2021,3.9
126,Houston County                  ,Minnesota,2021,3.1
127,Goodhue County                  ,Minnesota,2021,3.5
128,Kandiyohi County                ,Minnesota,2021,3.9
129,Anoka County                    ,Minnesota,2021,3.8
131,Red Lake County                 ,Minnesota,2021,6.5
132,Norman County                   ,Minnesota,2021,6.4
133,Martin County                   ,Minnesota,2021,5.4
134,Swift County                    ,Minnesota,2021,5.9
135,Pennington County               ,Minnesota,2021,6.2
136,Otter Tail County               ,Minnesota,2021,5.5
137,Sherburne County                ,Minnesota,2021,6.2
138,Stearns County                  ,Minnesota,2021,5.8
139,Mahnomen County                 ,Minnesota,2021,13.2
140,Pine County                     ,Minnesota,2021,8.8
141,Rock County                     ,Minnesota,2021,3.1
142,Meeker County                   ,Minnesota,2021,5.4
143,Traverse County                 ,Minnesota,2021,4.5
144,Murray County                   ,Minnesota,2021,5.2
145,Morrison County                 ,Minnesota,2021,6.9
146,Steele County                   ,Minnesota,2021,5.5
147,Waseca County                   ,Minnesota,2021,6.3
148,Saint Louis County              ,Minnesota,2021,7.3
149,Rice County                     ,Minnesota,2021,5.4
150,Watonwan County                 ,Minnesota,2021,4.7
151,Yellow Medicine County          ,Minnesota,2021,4.6
152,Redwood County                  ,Minnesota,2021,5.6
153,Stevens County                  ,Minnesota,2021,3.3
154,Nobles County                   ,Minnesota,2021,4.3
155,Todd County                     ,Minnesota,2021,5.4
156,Pipestone County                ,Minnesota,2021,4.1
157,Winona County                   ,Minnesota,2021,5.0
158,Nicollet County                 ,Minnesota,2021,4.9
159,Wilkin County                   ,Minnesota,2021,4.2
160,Wadena County                   ,Minnesota,2021,7.8
161,McLeod County                   ,Minnesota,2021,5.8
162,Marshall County                 ,Minnesota,2021,6.6
163,Wright County                   ,Minnesota,2021,5.6
164,Mower County                    ,Minnesota,2021,5.1
165,Wabasha County                  ,Minnesota,2021,5.4
166,Polk County                     ,Minnesota,2021,5.7
167,Ramsey County                   ,Minnesota,2021,7.0
168,Roseau County                   ,Minnesota,2021,5.8
169,Pope County                     ,Minnesota,2021,4.5
170,Mille Lacs County               ,Minnesota,2021,8.6
171,Washington County               ,Minnesota,2021,5.7
172,Renville County                 ,Minnesota,2021,5.8
173,Scott County                    ,Minnesota,2021,5.9
174,Olmsted County,Minnesota,2021,5.5
175,Sibley County                   ,Minnesota,2021,5.7
176,Becker County                   ,Minnesota,2020,6.3
177,Carlton County                  ,Minnesota,2020,7.3
178,Lac qui Parle County            ,Minnesota,2020,4.8
179,Douglas County                  ,Minnesota,2020,4.8
180,Cook County                     ,Minnesota,2020,8.4
181,Isanti County                   ,Minnesota,2020,6.8
182,Big Stone County                ,Minnesota,2020,4.8
183,Kittson County                  ,Minnesota,2020,4.7
184,Cass County                     ,Minnesota,2020,9.2
185,Lincoln County                  ,Minnesota,2020,4.5
186,Cottonwood County               ,Minnesota,2020,4.8
187,Benton County                   ,Minnesota,2020,6.7
188,Koochiching County              ,Minnesota,2020,7.5
189,Blue Earth County               ,Minnesota,2020,5.4
190,Beltrami County                 ,Minnesota,2020,6.4
191,Carver County                   ,Minnesota,2020,5.2
192,Brown County                    ,Minnesota,2020,5.2
193,Hennepin County                 ,Minnesota,2020,6.6
194,Aitkin County                   ,Minnesota,2020,8.3
195,Grant County                    ,Minnesota,2020,5.4
196,Kanabec County                  ,Minnesota,2020,8.2
197,Lyon County                     ,Minnesota,2020,4.5
198,Fillmore County                 ,Minnesota,2020,5.2
199,Crow Wing County                ,Minnesota,2020,7.3
200,Dodge County                    ,Minnesota,2020,5.5
201,Lake of the Woods County        ,Minnesota,2020,6.2
202,Chisago County                  ,Minnesota,2020,6.7
203,Itasca County                   ,Minnesota,2020,8.6
204,Clearwater County               ,Minnesota,2020,9.8
205,Jackson County                  ,Minnesota,2020,5.3
206,Faribault County                ,Minnesota,2020,6.2
207,Dakota County                   ,Minnesota,2020,6.3
208,Chippewa County                 ,Minnesota,2020,5.2
209,Clay County                     ,Minnesota,2020,4.4
210,Le Sueur County                 ,Minnesota,2020,6.9
211,Hubbard County                  ,Minnesota,2020,7.1
212,Freeborn County                 ,Minnesota,2020,5.7
213,Lake County                     ,Minnesota,2020,7.3
214,Houston County                  ,Minnesota,2020,4.4
215,Goodhue County                  ,Minnesota,2020,5.9
216,Kandiyohi County                ,Minnesota,2020,4.9
217,Anoka County                    ,Minnesota,2020,6.4
219,Red Lake County                 ,Minnesota,2020,5.3
220,Norman County                   ,Minnesota,2020,4.8
221,Martin County                   ,Minnesota,2020,3.8
222,Swift County                    ,Minnesota,2020,4.4
223,Pennington County               ,Minnesota,2020,4.6
224,Otter Tail County               ,Minnesota,2020,4.2
225,Sherburne County                ,Minnesota,2020,3.5
226,Stearns County                  ,Minnesota,2020,3.2
227,Mahnomen County                 ,Minnesota,2020,4.8
228,Pine County                     ,Minnesota,2020,5.6
229,Rock County                     ,Minnesota,2020,2.3
230,Meeker County                   ,Minnesota,2020,3.9
231,Traverse County                 ,Minnesota,2020,3.7
232,Murray County                   ,Minnesota,2020,4.3
233,Morrison County                 ,Minnesota,2020,5.2
234,Steele County                   ,Minnesota,2020,3.2
235,Waseca County                   ,Minnesota,2020,3.9
236,Saint Louis County              ,Minnesota,2020,4.0
237,Rice County                     ,Minnesota,2020,3.1
238,Watonwan County                 ,Minnesota,2020,4.1
239,Yellow Medicine County          ,Minnesota,2020,3.8
240,Redwood County                  ,Minnesota,2020,3.7
241,Stevens County                  ,Minnesota,2020,2.7
242,Nobles County                   ,Minnesota,2020,3.0
243,Todd County                     ,Minnesota,2020,4.4
244,Pipestone County                ,Minnesota,2020,3.5
245,Winona County                   ,Minnesota,2020,2.9
246,Nicollet County                 ,Minnesota,2020,2.6
247,Wilkin County                   ,Minnesota,2020,3.4
248,Wadena County                   ,Minnesota,2020,6.2
249,McLeod County                   ,Minnesota,2020,3.7
250,Marshall County                 ,Minnesota,2020,5.9
251,Wright County                   ,Minnesota,2020,3.3
252,Mower County                    ,Minnesota,2020,3.0
253,Wabasha County                  ,Minnesota,2020,3.4
254,Polk County                     ,Minnesota,2020,4.0
255,Ramsey County                   ,Minnesota,2020,3.0
256,Roseau County                   ,Minnesota,2020,3.9
257,Pope County                     ,Minnesota,2020,3.1
258,Mille Lacs County               ,Minnesota,2020,5.5
259,Washington County               ,Minnesota,2020,2.8
260,Renville County                 ,Minnesota,2020,4.6
261,Scott County                    ,Minnesota,2020,2.8
262,Olmsted County,Minnesota,2020,2.6
263,Sibley County                   ,Minnesota,2020,3.9
264,Becker County                   ,Minnesota,2019,4.0
265,Carlton County                  ,Minnesota,2019,4.5
266,Lac qui Parle County            ,Minnesota,2019,3.8
267,Douglas County                  ,Minnesota,2019,3.2
268,Cook County                     ,Minnesota,2019,4.3
269,Isanti County                   ,Minnesota,2019,4.1
270,Big Stone County                ,Minnesota,2019,4.2
271,Kittson County                  ,Minnesota,2019,3.7
272,Cass County                     ,Minnesota,2019,5.6
273,Lincoln County                  ,Minnesota,2019,3.8
274,Cottonwood County               ,Minnesota,2019,3.7
275,Benton County                   ,Minnesota,2019,3.9
276,Koochiching County              ,Minnesota,2019,6.3
277,Blue Earth County               ,Minnesota,2019,2.8
278,Beltrami County                 ,Minnesota,2019,4.3
279,Carver County                   ,Minnesota,2019,2.8
280,Brown County                    ,Minnesota,2019,3.6
281,Hennepin County                 ,Minnesota,2019,2.8
282,Aitkin County                   ,Minnesota,2019,6.2
283,Grant County                    ,Minnesota,2019,4.5
284,Kanabec County                  ,Minnesota,2019,5.9
285,Lyon County                     ,Minnesota,2019,3.2
286,Fillmore County                 ,Minnesota,2019,3.3
287,Crow Wing County                ,Minnesota,2019,4.4
288,Dodge County                    ,Minnesota,2019,3.4
289,Lake of the Woods County        ,Minnesota,2019,4.2
290,Chisago County                  ,Minnesota,2019,3.8
291,Itasca County                   ,Minnesota,2019,6.0
