COUNTY_FULL,STATE_NAME,YEAR,UE_RATE
Houston County                  ,Minnesota,2021,3.1
Goodhue County                  ,Minnesota,2021,3.5
Kandiyohi County                ,Minnesota,2021,3.9
Anoka County                    ,Minnesota,2021,3.8
Red Lake County                 ,Minnesota,2021,6.5
Norman County                   ,Minnesota,2021,6.4
Martin County                   ,Minnesota,2021,5.4
Swift County                    ,Minnesota,2021,5.9
Pennington County               ,Minnesota,2021,6.2
Otter Tail County               ,Minnesota,2021,5.5
Sherburne County                ,Minnesota,2021,6.2
Stearns County                  ,Minnesota,2021,5.8
Mahnomen County                 ,Minnesota,2021,13.2
Pine County                     ,Minnesota,2021,8.8
Rock County                     ,Minnesota,2021,3.1
Meeker County                   ,Minnesota,2021,5.4
Traverse County                 ,Minnesota,2021,4.5
Murray County                   ,Minnesota,2021,5.2
Morrison County                 ,Minnesota,2021,6.9
Steele County                   ,Minnesota,2021,5.5
Waseca County                   ,Minnesota,2021,6.3
Saint Louis County              ,Minnesota,2021,7.3
Rice County                     ,Minnesota,2021,5.4
Watonwan County                 ,Minnesota,2021,4.7
Yellow Medicine County          ,Minnesota,2021,4.6
Redwood County                  ,Minnesota,2021,5.6
Stevens County                  ,Minnesota,2021,3.3
Nobles County                   ,Minnesota,2021,4.3
Todd County                     ,Minnesota,2021,5.4
Pipestone County                ,Minnesota,2021,4.1
Winona County                   ,Minnesota,2021,5.0
Nicollet County                 ,Minnesota,2021,4.9
Wilkin County                   ,Minnesota,2021,4.2
Wadena County                   ,Minnesota,2021,7.8
McLeod County                   ,Minnesota,2021,5.8
Marshall County                 ,Minnesota,2021,6.6
Wright County                   ,Minnesota,2021,5.6
Mower County                    ,Minnesota,2021,5.1
Wabasha County                  ,Minnesota,2021,5.4
Polk County                     ,Minnesota,2021,5.7
Ramsey County                   ,Minnesota,2021,7.0
Roseau County                   ,Minnesota,2021,5.8
Pope County                     ,Minnesota,2021,4.5
Mille Lacs County               ,Minnesota,2021,8.6
Washington County               ,Minnesota,2021,5.7
Renville County                 ,Minnesota,2021,5.8
Scott County                    ,Minnesota,2021,5.9
Olmsted County,Minnesota,2021,5.5
Sibley County                   ,Minnesota,2021,5.7
Becker County                   ,Minnesota,2020,6.3
Carlton County                  ,Minnesota,2020,7.3
Lac qui Parle County            ,Minnesota,2020,4.8
Douglas County                  ,Minnesota,2020,4.8
Cook County                     ,Minnesota,2020,8.4
