STATE,SAEMHI_MOE,SAEMHI_PT,SAEMHI_UB90,SAEPOV0_17_LB90,SAEPOV0_17_MOE,SAEPOV0_17_PT,SAEPOV0_17_UB90,SAEPOV0_4_LB90,SAEPOV0_4_MOE,SAEPOV0_4_PT,SAEPOV0_4_UB90,SAEPOV5_17R_LB90,SAEPOV5_17R_MOE,SAEPOV5_17R_PT,SAEPOV5_17R_UB90,SAEPOVALL_LB90,SAEPOVALL_MOE,SAEPOVALL_PT,SAEPOVALL_UB90,SAEPOVRT0_17_LB90,SAEPOVRT0_17_MOE,SAEPOVRT0_17_PT,SAEPOVRT0_17_UB90,SAEPOVRT0_4_LB90,SAEPOVRT0_4_MOE,SAEPOVRT0_4_PT,SAEPOVRT0_4_UB90,SAEPOVRT5_17R_LB90,SAEPOVRT5_17R_MOE,SAEPOVRT5_17R_PT,SAEPOVRT5_17R_UB90,SAEPOVRTALL_LB90,SAEPOVRTALL_MOE,SAEPOVRTALL_PT,SAEPOVRTALL_UB90,SAEPOVU_0_17,SAEPOVU_0_4,SAEPOVU_5_17R,SAEPOVU_ALL,YEAR
Indiana,1749.0,39719.0,41467.0,185054.0,34804.0,219858.0,254662.0,49007.0,17048.0,66054.0,83102.0,106998.0,30397.0,137395.0,167792.0,535725.0,53040.0,588765.0,641804.0,11.9,2.25,14.1,16.4,11.5,3.95,15.4,19.4,9.8,2.8,12.6,15.4,9.1,0.9,10.0,10.9,1557259.0,427920.0,1093080.0,5905936.0,1998
Iowa,1796.0,38159.0,39955.0,85253.0,16521.0,101774.0,118295.0,23428.0,7421.0,30849.0,38269.0,49513.0,14428.0,63941.0,78369.0,244108.0,26496.0,270604.0,297100.0,11.5,2.25,13.8,16.0,12.3,3.9,16.2,20.1,9.4,2.7,12.1,14.8,8.6,0.9,9.5,10.4,739423.0,190024.0,528968.0,2845329.0,1998
Kansas,1828.0,38553.0,40380.0,87030.0,15837.0,102867.0,118703.0,21515.0,7147.0,28662.0,35809.0,54484.0,14129.0,68613.0,82742.0,250586.0,24388.0,274974.0,299362.0,12.2,2.2,14.4,16.6,11.3,3.75,15.1,18.8,10.6,2.75,13.4,16.1,9.5,0.95,10.5,11.4,714563.0,190172.0,512741.0,2627795.0,1998
Kentucky,1925.0,33955.0,35880.0,187446.0,23193.0,210639.0,233832.0,56603.0,10701.0,67304.0,78004.0,117827.0,20194.0,138021.0,158215.0,563434.0,39605.0,603038.0,642643.0,18.9,2.35,21.2,23.6,21.1,3.95,25.0,29.0,16.4,2.8,19.2,22.0,14.3,1.0,15.3,16.3,991309.0,268778.0,718582.0,3937364.0,1998
Louisiana,1709.0,30894.0,32602.0,280811.0,31197.0,312008.0,343204.0,78594.0,13830.0,92424.0,106254.0,184886.0,28559.0,213445.0,242004.0,744056.0,46267.0,790323.0,836589.0,23.2,2.55,25.7,28.3,24.4,4.3,28.7,33.0,20.8,3.25,24.0,27.3,17.2,1.05,18.2,19.3,1212752.0,322164.0,887508.0,4331140.0,1998
Maine,1701.0,35560.0,37261.0,34696.0,7054.0,41750.0,48803.0,9552.0,2844.0,12395.0,15239.0,20474.0,6459.0,26933.0,33392.0,116883.0,11799.0,128682.0,140481.0,11.8,2.4,14.2,16.6,13.8,4.1,17.9,22.0,9.3,2.95,12.3,15.2,9.4,0.95,10.3,11.3,294553.0,69175.0,219748.0,1245624.0,1998
Maryland,2155.0,47492.0,49646.0,129768.0,32637.0,162405.0,195042.0,22723.0,15606.0,38328.0,53934.0,86028.0,28726.0,114754.0,143480.0,403675.0,50385.0,454060.0,504445.0,10.0,2.55,12.6,15.1,6.7,4.55,11.2,15.8,9.1,3.05,12.2,15.2,7.9,0.95,8.8,9.8,1293467.0,340833.0,942892.0,5134465.0,1998
Massachusetts,1922.0,44934.0,46856.0,177970.0,32460.0,210430.0,242890.0,33734.0,14412.0,48146.0,62558.0,124083.0,28774.0,152857.0,181631.0,501063.0,50762.0,551825.0,602586.0,12.1,2.2,14.3,16.5,8.4,3.6,12.0,15.6,11.7,2.7,14.4,17.1,8.2,0.8,9.0,9.8,1476516.0,400413.0,1062455.0,6126598.0,1998
Michigan,1568.0,41963.0,43531.0,385029.0,51128.0,436156.0,487284.0,96518.0,23555.0,120072.0,143627.0,254076.0,45058.0,299134.0,344192.0,1038273.0,79941.0,1118213.0,1198154.0,14.9,1.95,16.8,18.8,14.7,3.6,18.3,21.9,13.3,2.35,15.7,18.0,10.6,0.8,11.4,12.2,2591215.0,656764.0,1908190.0,9827389.0,1998
Minnesota,2093.0,45311.0,47403.0,131891.0,29968.0,161858.0,191826.0,35747.0,14731.0,50478.0,65209.0,76726.0,25841.0,102567.0,128408.0,379238.0,44498.0,423735.0,468233.0,10.3,2.3,12.6,14.9,10.9,4.5,15.4,19.9,8.2,2.75,10.9,13.7,8.0,0.95,8.9,9.9,1284009.0,327821.0,940643.0,4748732.0,1998
